date;hospitalisation;reanimation;cumul décès;cumul retour à domicile
"2020-05-13";20905;2362;17032;58204
"2020-05-14";20296;2233;17155;59125
"2020-05-15";19692;2139;17272;59963
"2020-05-16";19269;2068;17342;60571
"2020-05-17";19194;2025;17396;60716
"2020-05-18";18842;1936;17518;61229
"2020-05-19";18298;1831;17646;62053
"2020-05-20";17775;1735;17743;62838
"2020-05-21";17425;1691;17801;63330
"2020-05-22";17224;1647;17875;63677
"2020-05-23";17020;1613;17917;64002
"2020-05-24";17021;1603;17952;64071
"2020-05-25";16630;1556;18041;64653
"2020-05-26";16098;1499;18123;65318
"2020-05-27";15511;1448;18188;66016
"2020-05-28";15039;1376;18254;66615
"2020-05-29";14519;1307;18315;67221
"2020-05-30";14210;1271;18372;67673
"2020-05-31";14156;1265;18404;67754
"2020-06-01";14115;1252;18433;67837
"2020-06-02";13868;1201;18517;68186
"2020-06-03";13351;1159;18598;68817
"2020-06-04";12940;1115;18642;69330
"2020-06-05";12532;1047;18688;69849
"2020-06-06";12309;1011;18719;70140
"2020-06-07";12292;1005;18732;70172
"2020-06-08";12143;976;18785;70385
"2020-06-09";11800;908;18836;70806
"2020-06-10";11513;885;18859;71124
"2020-06-11";11294;854;18886;71431
"2020-06-12";10940;827;18914;71844
"2020-06-13";10721;818;18937;72068
"2020-06-14";10689;818;18945;72108
"2020-06-15";10549;792;18974;72281
"2020-06-16";10324;766;19011;72566
"2020-06-17";10056;720;19038;72870
"2020-06-18";9912;699;19066;73070
"2020-06-19";9749;673;19080;73291
"2020-06-20";9609;661;19096;73464
"2020-06-21";9588;657;19101;73507
"2020-06-22";9447;640;19123;73728
"2020-06-23";9254;622;19148;73960
"2020-06-24";9059;600;19157;74193
"2020-06-25";8897;589;19177;74392
"2020-06-26";8634;569;19202;74674
"2020-06-27";8513;559;19214;74818
"2020-06-28";8519;560;19215;74828
"2020-06-29";8430;554;19231;74973
"2020-06-30";8274;538;19252;75225
"2020-07-01";8065;518;19269;75475
"2020-07-02";7874;504;19283;75699
"2020-07-03";7724;491;19301;75917
"2020-07-04";7648;477;19312;76003
"2020-07-05";7644;478;19313;76011
"2020-07-06";7588;476;19323;76120
"2020-07-07";7331;463;19355;76428
"2020-07-08";7043;458;19386;76733
"2020-07-09";6920;445;19400;76892
"2020-07-10";6805;431;19424;77091
"2020-07-11";6785;432;19427;77143
"2020-07-12";6780;432;19428;77156
"2020-07-13";6729;429;19443;77246
"2020-07-14";6701;428;19447;77298
"2020-07-15";6665;418;19465;77414
"2020-07-16";6549;417;19482;77599
"2020-07-17";6442;413;19496;77779
"2020-07-18";6417;415;19501;77849
"2020-07-19";6378;413;19502;77893
"2020-07-20";6343;408;19517;78023
"2020-07-21";6238;396;19529;78182
"2020-07-22";6120;383;19536;78376
"2020-07-23";5710;374;19545;78866
"2020-07-24";5488;348;19555;79172
"2020-07-25";5437;331;19562;79259
"2020-07-26";5436;330;19562;79271
"2020-07-27";5411;337;19569;79383
"2020-07-28";5320;325;19583;79561
"2020-07-29";5228;320;19597;79724
"2020-07-30";5169;319;19613;79854
"2020-07-31";5105;311;19624;80033
"2020-08-01";5032;311;19630;80163
"2020-08-02";5034;312;19631;80174
"2020-08-03";4986;325;19653;80294
"2020-08-04";4957;330;19662;80424
"2020-08-05";4943;327;19670;80543
"2020-08-06";4856;336;19676;80730
"2020-08-07";4812;334;19688;80879
"2020-08-08";4818;339;19689;80919
"2020-08-09";4828;340;19689;80924
"2020-08-10";4853;343;19702;81042
"2020-08-11";4829;341;19717;81209
"2020-08-12";4718;330;19732;81422
"2020-08-13";4697;326;19749;81583
"2020-08-14";4655;321;19764;81749
"2020-08-15";4682;327;19767;81781
"2020-08-16";4687;326;19767;81788
"2020-08-17";4736;332;19786;81920
"2020-08-18";4643;328;19802;82139
"2020-08-19";4629;332;19818;82271
"2020-08-20";4576;336;19830;82428
"2020-08-21";4565;334;19852;82589
"2020-08-22";4529;331;19859;82693
"2020-08-23";4528;335;19860;82707
"2020-08-24";4501;353;19873;82910
"2020-08-25";4412;363;19893;83214
"2020-08-26";4359;337;19911;83431
"2020-08-27";4331;340;19922;83638
"2020-08-28";4327;343;19940;83807
"2020-08-29";4323;353;19944;83908
"2020-08-30";4329;353;19947;83916
"2020-08-31";4366;361;19973;84062
"2020-09-01";4385;378;19987;84273
"2020-09-02";4434;404;20010;84492
