jour;test;positif;hospitalisation;reanimation;nbr_deces;nbr_malade;nbr_retour_domicile;%cas positif;%mort/cas;%hospitalisation/cas;%réa/cas
2020-05-13;39872;901;20905;2362;0;901;0;2.26;0.0;2320.2;262.15
2020-05-14;43188;1013;20296;2233;123;1914;921;2.35;12.14;2003.55;220.43
2020-05-15;48470;1046;19692;2139;117;2960;838;2.16;11.19;1882.6;204.49
2020-05-16;16674;292;19269;2068;70;3252;608;1.75;23.97;6598.97;708.22
2020-05-17;6642;140;19194;2025;54;3392;145;2.11;38.57;13710.0;1446.43
2020-05-18;51929;1124;18842;1936;122;4516;513;2.16;10.85;1676.33;172.24
2020-05-19;53467;1056;18298;1831;128;5572;824;1.98;12.12;1732.77;173.39
2020-05-20;53760;1060;17775;1735;97;5731;785;1.97;9.15;1676.89;163.68
2020-05-21;9778;197;17425;1691;58;4915;492;2.01;29.44;8845.18;858.38
2020-05-22;51006;827;17224;1647;74;4696;347;1.62;8.95;2082.71;199.15
2020-05-23;19095;267;17020;1613;42;4671;325;1.4;15.73;6374.53;604.12
2020-05-24;7153;140;17021;1603;35;4671;69;1.96;25.0;12157.86;1145.0
2020-05-25;52079;717;16630;1556;89;4264;582;1.38;12.41;2319.39;217.02
2020-05-26;54254;778;16098;1499;82;3986;665;1.43;10.54;2069.15;192.67
2020-05-27;46835;732;15511;1448;65;3658;698;1.56;8.88;2118.99;197.81
2020-05-28;44762;644;15039;1376;66;4105;599;1.44;10.25;2335.25;213.66
2020-05-29;49682;597;14519;1307;61;3875;606;1.2;10.22;2431.99;218.93
2020-05-30;20347;372;14210;1271;57;3980;452;1.83;15.32;3819.89;341.67
2020-05-31;8566;188;14156;1265;32;4028;81;2.19;17.02;7529.79;672.87
2020-06-01;10059;176;14115;1252;29;3487;83;1.75;16.48;8019.89;711.36
2020-06-02;49213;745;13868;1201;84;3454;349;1.51;11.28;1861.48;161.21
2020-06-03;45122;679;13351;1159;81;3401;631;1.5;11.93;1966.27;170.69
2020-06-04;41692;631;12940;1115;44;3388;513;1.51;6.97;2050.71;176.7
2020-06-05;46834;565;12532;1047;46;3356;519;1.21;8.14;2218.05;185.31
2020-06-06;19752;297;12309;1011;31;3281;291;1.5;10.44;4144.44;340.4
2020-06-07;7598;138;12292;1005;13;3231;32;1.82;9.42;8907.25;728.26
